,l_1,l_2,l_3,l_4,l_5,l_6,p_1,p_2,p_3,p_4,p_5,p_6,brows_class
78,141.19941615815083,151.56846254409862,154.86420251928396,150.73565776547682,145.8976107656239,156.26756745257418,154.02560603756868,148.36599255739068,139.29998814891331,151.3472118994238,144.39188849907498,152.41289367055404,high_arch
79,137.47847393380565,142.35995415883198,148.3713319698919,154.60972777672916,144.40860743046886,147.66506376504236,149.65054764000266,143.94167934583447,136.1360280396881,150.88610398054286,142.31310561693147,148.96778976153277,high_arch
80,128.08877288097534,135.60063264548887,135.6373260743485,147.52880770915152,138.57217210123963,147.03881511127656,130.6012946450045,127.1873818882905,120.4287285784251,144.56239412510547,132.03954004893933,138.41998309486112,high_arch
81,123.97654403625687,137.27044967066507,146.05145702666547,139.8683323746852,130.4837783978477,142.5175885722815,143.10526673390257,138.49983048658973,136.45743218207687,157.04882957492563,145.73889710090543,146.12305844810516,high_arch
82,128.97999606032968,132.67688661830218,137.75682693036399,151.72468887477757,138.97496656030637,141.21005097141222,133.4555958888385,128.94002305010682,120.68662472502643,143.0772174311757,131.3360771509519,138.94847191429105,high_arch
83,134.40163241270264,139.37578016685688,143.0942252270272,152.4592026356272,142.63107715454495,146.87163780658676,140.0663608380625,134.95996102712334,127.46055486049069,147.2647737278924,136.2188752351313,142.77913719091435,high_arch
84,130.86361610632767,144.6139155801148,152.86315363944877,142.80640082923574,135.65602987408172,148.24989575858464,149.18203019380542,145.29170423040497,140.73007868535953,155.86601193728686,147.37491484911246,151.05154821950865,high_arch
85,123.54163746868393,132.98311652153447,139.0616395209132,143.59195139595224,132.91021484329005,141.22628937686284,140.8610940822648,135.17676647833858,130.43903669981333,151.1094345458964,139.42354097524895,142.52874759411287,high_arch
86,140.57685864992382,146.61371334766292,153.69409737425278,154.84937203432415,145.8164023353531,149.86733593039222,156.00968403416,150.94539590092285,146.88865803962798,159.8482529657881,152.05126185555352,154.67679290008329,high_arch
87,127.58882239796729,143.08894160009237,152.34373259765943,139.5516977270611,132.08318005059928,146.03392121925225,153.07735151360353,145.9768877683394,143.49729902440959,159.4516218189782,149.24314921946024,149.19633144275468,high_arch
88,130.32884063872962,145.20638141091433,153.86276691081179,141.8705145129328,134.80577776253017,148.276397042316,154.96106035748983,149.2433191126166,146.02958383732974,159.92992571499158,151.20323229442886,152.72323661688634,high_arch
89,129.13039955698528,148.17641875284363,156.8895567699047,138.17983011986425,132.58049078334366,150.4221613187387,155.08197748418078,149.9082580122553,148.27326971414305,162.67050791608793,153.7535082541147,153.66321765307544,high_arch
90,130.71471779588762,135.94695144677348,142.4898387803717,150.80565762590822,139.13373995356656,142.45207744340468,145.1194317251283,137.47159400784693,132.5382580296804,151.81790786357863,139.87603286103217,142.60999250771073,high_arch
91,136.54815769897795,145.18011162028574,147.8926420864153,149.94065545272906,143.67317404787977,152.36887846250488,146.2252589698793,140.06925680696762,130.91374108502663,146.72511201516508,137.86715325153673,145.77065555153104,high_arch
92,124.53466157139934,136.33221985386965,143.13010235415598,141.581944655178,132.27368900609375,143.0420566616266,149.8064166674856,136.78991060824606,124.69515353123397,142.12501634890182,130.0607844578738,138.91100700490753,high_arch
